Comment,Designator,Footprint,LCSC
22pF,"C_crystal1,C_crystal2",C_0402_1005Metric,C106203
ATmega32U4-M,U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C112161
Crystal_GND24_Small,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C133336
0.1uF,"C_Decoupler1,C_Decoupler2,C_Decoupler3,C_Decoupler5",C_0402_1005Metric,C1525
4.7nF,C_USBSHIELD1,C_0402_1005Metric,C1538
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
1uF,C_UCAP1,C_0402_1005Metric,C182246
10uF,C_Decoupler4,C_0402_1005Metric,C237279
22ohm,"R_USB3,R_USB4",R_0402_1005Metric,C25092
5.1k,"R_USB1,R_USB2",R_0402_1005Metric,C25905
PRTR5V0U2X,D59,SOT-143,C2827688
10k,R_reset1,R_0402_1005Metric,C3015825
1M,R_USBSHIELD1,R_0402_1005Metric,C3015928
SW_Push,SW2,SKQG-1155865,C318884
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D6,D7,D8,D9",D_SOD-123F,C64898
500mA,F_USBC1,Fuse_1206_3216Metric,C70076
MountingHole,H4,MountingHole_2.2mm_M2,
MountingHole,H3,MountingHole_2.2mm_M2,
MountingHole,H1,MountingHole_2.2mm_M2,
MountingHole,H2,MountingHole_2.2mm_M2,
MX-NoLED,MX56,MXOnly-1U-Hotswap,
MX-NoLED,MX51,MXOnly-1.25U-Hotswap,
MX-NoLED,MX52,MXOnly-2.75U-Hotswap-ReversedStabilizers,
MX-NoLED,MX13,MXOnly-1U-Hotswap,
MX-NoLED,MX37,MXOnly-1.5U-Hotswap,
MX-NoLED,MX19,MXOnly-1U-Hotswap,
MX-NoLED,MX54,MXOnly-2.25U-Hotswap-ReversedStabilizers,
MX-NoLED,MX7,MXOnly-1U-Hotswap,
MX-NoLED,MX46,MXOnly-1U-Hotswap,
RotaryEncoder_Switch,SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,
MX-NoLED,MX48,MXOnly-1U-Hotswap,
MX-NoLED,MX14,MXOnly-1U-Hotswap,
MX-NoLED,MX12,MXOnly-1U-Hotswap,
MX-NoLED,MX30,MXOnly-1U-Hotswap,
MX-NoLED,MX15,MXOnly-1U-Hotswap,
MX-NoLED,MX26,MXOnly-1U-Hotswap,
MX-NoLED,MX11,MXOnly-1U-Hotswap,
MX-NoLED,MX45,MXOnly-1U-Hotswap,
MX-NoLED,MX18,MXOnly-1U-Hotswap,
MX-NoLED,MX32,MXOnly-1U-Hotswap,
MX-NoLED,MX22,MXOnly-1U-Hotswap,
MountingHole,H5,MountingHole_2.2mm_M2,
MX-NoLED,MX35,MXOnly-1U-Hotswap,
MX-NoLED,MX27,MXOnly-1U-Hotswap,
MX-NoLED,MX43,MXOnly-1U-Hotswap,
MX-NoLED,MX3,MXOnly-1U-Hotswap,
MX-NoLED,MX33,MXOnly-1U-Hotswap,
MX-NoLED,MX50,MXOnly-1U-Hotswap,
MX-NoLED,MX47,MXOnly-1U-Hotswap,
MX-NoLED,MX28,MXOnly-1U-Hotswap,
MX-NoLED,MX6,MXOnly-1U-Hotswap,
MX-NoLED,MX49,MXOnly-1.25U-Hotswap,
MX-NoLED,MX10,MXOnly-1U-Hotswap,
MX-NoLED,MX8,MXOnly-1U-Hotswap,
MX-NoLED,MX9,MXOnly-1U-Hotswap,
MX-NoLED,MX42,MXOnly-1U-Hotswap,
MX-NoLED,MX24,MXOnly-1.5U-Hotswap,
MX-NoLED,MX20,MXOnly-1U-Hotswap,
MX-NoLED,MX1,MXOnly-1U-Hotswap,
MX-NoLED,MX16,MXOnly-1U-Hotswap,
MX-NoLED,MX38,MXOnly-1U-Hotswap,
MX-NoLED,MX31,MXOnly-1U-Hotswap,
MountingHole,H6,MountingHole_2.2mm_M2,
MX-NoLED,MX53,MXOnly-6U-Centered-Hotswap-ReversedStabilizers,
MX-NoLED,MX29,MXOnly-1U-Hotswap,
MX-NoLED,MX39,MXOnly-1U-Hotswap,
MX-NoLED,MX55,MXOnly-1U-Hotswap,
MX-NoLED,MX40,MXOnly-1U-Hotswap,
MX-NoLED,MX21,MXOnly-1U-Hotswap,
MX-NoLED,MX5,MXOnly-1U-Hotswap,
MX-NoLED,MX44,MXOnly-1U-Hotswap,
MX-NoLED,MX36,MXOnly-1.25U-Hotswap,
RotaryEncoder_Switch,SW12,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,
MX-NoLED,MX4,MXOnly-1U-Hotswap,
MX-NoLED,MX25,MXOnly-1.25U-Hotswap,
MX-NoLED,MX17,MXOnly-1U-Hotswap,
MX-NoLED,MX41,MXOnly-1U-Hotswap,
MX-NoLED,MX34,MXOnly-1U-Hotswap,
MX-NoLED,MX58,MXOnly-1U-Hotswap,
MX-NoLED,MX2,MXOnly-1U-Hotswap,
MX-NoLED,MX57,MXOnly-1U-Hotswap,
MX-NoLED,MX23,MXOnly-1U-Hotswap,
AVR-ISP-6,J2,Reset_Pretty-Mask,
